#Accession	Sequence ID	Release Date
OR378609	IBISU211118_Angara_BL_AmspA007_SA_18S	08/07/2023	
OR378610	IBISU211118_Angara_BL_AmspA009_SA_18S	08/07/2023	
OR378611	IBISU211118_Angara_BL_AmspA010_SA_18S	08/07/2023	
OR378612	IBISU211118_Angara_BL_AmspA013_SA_18S	08/07/2023	
OR378613	IBISU211126_Angara_So_AmspA033_SA_18S	08/07/2023	
OR378614	IBISU211126_Angara_So_AmspA034_SA_18S	08/07/2023	
OR378615	IBISU211126_Angara_So_AmspA035_SA_18S	08/07/2023	
OR378616	IBISU211126_Angara_So_AmspA036_SA_18S	08/07/2023	
OR378617	IBISU211126_Angara_So_AmspA038_SA_18S	08/07/2023	
OR378618	IBISU211126_Angara_So_AmspA039_SA_18S	08/07/2023	
OR378619	IBISU211125_Angara_To_AmspA056_SA_18S	08/07/2023	
OR378620	IBISU211126_Angara_Vn_AmspA085_SA_18S	08/07/2023	
OR378621	IBISU211126_Angara_Vn_AmspA086_SA_18S	08/07/2023	
OR378622	IBISU211126_Angara_Vn_AmspA087_SA_18S	08/07/2023	
OR378623	IBISU211126_Angara_Vn_AmspA088_SA_18S	08/07/2023	
OR378624	IBISU211126_Angara_Vn_AmspA089_SA_18S	08/07/2023	
OR378625	IBISU211126_Angara_Vn_AmspA093_SA_18S	08/07/2023	
OR378626	IBISU211126_Angara_Vn_AmspA095_SA_18S	08/07/2023	
OR378627	IBISU211126_Angara_Vn_AmspA096_SA_18S	08/07/2023	
OR378628	IBISU211126_Angara_Vn_AmspA099_SA_18S	08/07/2023	
OR378629	IBISU211126_Angara_Vn_AmspA100_SA_18S	08/07/2023	
OR378630	IBISU211125_Angara_Ya_AmspA107_SA_18S	08/07/2023	
OR378631	IBISU211125_Angara_Ya_AmspA108_SA_18S	08/07/2023	
OR378632	IBISU211125_Angara_Ya_AmspA109_SA_18S	08/07/2023	
OR378633	IBISU211125_Angara_Ya_AmspA110_SA_18S	08/07/2023	
OR378634	IBISU211125_Angara_Ya_AmspA111_SA_18S	08/07/2023	
OR378635	IBISU211110_Angara_AR_EveA001_SA_18S	08/07/2023	
OR378636	IBISU211110_Angara_AR_EveA002_SA_18S	08/07/2023	
OR378637	IBISU211110_Angara_AR_EveA003_SA_18S	08/07/2023	
OR378638	IBISU211110_Angara_AR_EveA004_SA_18S	08/07/2023	
OR378639	IBISU211110_Angara_AR_EveA005_SA_18S	08/07/2023	
OR378640	IBISU211110_Angara_AR_EveA006_SA_18S	08/07/2023	
OR378641	IBISU211110_Angara_AR_EveA024_SA_18S	08/07/2023	
OR378642	IBISU211110_Angara_AR_EveA025_SA_18S	08/07/2023	
OR378643	IBISU211110_Angara_AR_EveA026_SA_18S	08/07/2023	
OR378644	IBISU211110_Angara_AR_EveA027_SA_18S	08/07/2023	
OR378645	IBISU211111_Angara_BR_EveA028_SA_18S	08/07/2023	
OR378646	IBISU211111_Angara_GR_EveA032_SA_18S	08/07/2023	
OR378647	IBISU211111_Angara_GR_EveA033_SA_18S	08/07/2023	
OR378648	IBISU211111_Angara_GR_EveA034_SA_18S	08/07/2023	
OR378649	IBISU211111_Angara_GR_EveA035_SA_18S	08/07/2023	
OR378650	IBISU211111_Angara_GR_EveA036_SA_18S	08/07/2023	
OR378651	IBISU211111_Angara_GR_EveA037_SA_18S	08/07/2023	
OR378652	IBISU211111_Angara_GR_EveA038_SA_18S	08/07/2023	
OR378653	IBISU211111_Angara_GR_EveA061_SA_18S	08/07/2023	
