#Accession	Sequence ID	Release Date
OR394255	IBISU211118_Angara_BL_AmspA007_SA_COI	08/09/2023	
OR394256	IBISU211118_Angara_BL_AmspA009_SA_COI	08/09/2023	
OR394257	IBISU211118_Angara_BL_AmspA010_SA_COI	08/09/2023	
OR394258	IBISU211118_Angara_BL_AmspA013_SA_COI	08/09/2023	
OR394259	IBISU211126_Angara_So_AmspA033_SA_COI	08/09/2023	
OR394260	IBISU211126_Angara_So_AmspA034_SA_COI	08/09/2023	
OR394261	IBISU211126_Angara_So_AmspA035_SA_COI	08/09/2023	
OR394262	IBISU211126_Angara_So_AmspA036_SA_COI	08/09/2023	
OR394263	IBISU211126_Angara_So_AmspA038_SA_COI	08/09/2023	
OR394264	IBISU211126_Angara_So_AmspA039_SA_COI	08/09/2023	
OR394265	IBISU211125_Angara_To_AmspA056_SA_COI	08/09/2023	
OR394266	IBISU211126_Angara_Vn_AmspA085_SA_COI	08/09/2023	
OR394267	IBISU211126_Angara_Vn_AmspA086_SA_COI	08/09/2023	
OR394268	IBISU211126_Angara_Vn_AmspA087_SA_COI	08/09/2023	
OR394269	IBISU211126_Angara_Vn_AmspA088_SA_COI	08/09/2023	
OR394270	IBISU211126_Angara_Vn_AmspA089_SA_COI	08/09/2023	
OR394271	IBISU211126_Angara_Vn_AmspA093_SA_COI	08/09/2023	
OR394272	IBISU211126_Angara_Vn_AmspA095_SA_COI	08/09/2023	
OR394273	IBISU211126_Angara_Vn_AmspA096_SA_COI	08/09/2023	
OR394274	IBISU211126_Angara_Vn_AmspA099_SA_COI	08/09/2023	
OR394275	IBISU211126_Angara_Vn_AmspA100_SA_COI	08/09/2023	
OR394276	IBISU211125_Angara_Ya_AmspA107_SA_COI	08/09/2023	
OR394277	IBISU211125_Angara_Ya_AmspA108_SA_COI	08/09/2023	
OR394278	IBISU211125_Angara_Ya_AmspA109_SA_COI	08/09/2023	
OR394279	IBISU211125_Angara_Ya_AmspA110_SA_COI	08/09/2023	
OR394280	IBISU211125_Angara_Ya_AmspA111_SA_COI	08/09/2023	
OR394281	IBISU211110_Angara_AR_EveA001_SA_COI	08/09/2023	
OR394282	IBISU211110_Angara_AR_EveA002_SA_COI	08/09/2023	
OR394283	IBISU211110_Angara_AR_EveA003_SA_COI	08/09/2023	
OR394284	IBISU211110_Angara_AR_EveA004_SA_COI	08/09/2023	
OR394285	IBISU211110_Angara_AR_EveA005_SA_COI	08/09/2023	
OR394286	IBISU211110_Angara_AR_EveA006_SA_COI	08/09/2023	
OR394287	IBISU211110_Angara_AR_EveA024_SA_COI	08/09/2023	
OR394288	IBISU211110_Angara_AR_EveA025_SA_COI	08/09/2023	
OR394289	IBISU211110_Angara_AR_EveA026_SA_COI	08/09/2023	
OR394290	IBISU211110_Angara_AR_EveA027_SA_COI	08/09/2023	
OR394291	IBISU211111_Angara_BR_EveA028_SA_COI	08/09/2023	
OR394292	IBISU211111_Angara_GR_EveA032_SA_COI	08/09/2023	
OR394293	IBISU211111_Angara_GR_EveA033_SA_COI	08/09/2023	
OR394294	IBISU211111_Angara_GR_EveA034_SA_COI	08/09/2023	
OR394295	IBISU211111_Angara_GR_EveA035_SA_COI	08/09/2023	
OR394296	IBISU211111_Angara_GR_EveA036_SA_COI	08/09/2023	
OR394297	IBISU211111_Angara_GR_EveA037_SA_COI	08/09/2023	
OR394298	IBISU211111_Angara_GR_EveA038_SA_COI	08/09/2023	
OR394299	IBISU211111_Angara_GR_EveA061_SA_COI	08/09/2023	
OR394300	IBISU211111_Angara_GR_EveA062_SA_COI	08/09/2023	
OR394301	IBISU211111_Angara_GR_EveA063_SA_COI	08/09/2023	
OR394302	IBISU211117_Angara_GL_EveA064_SA_COI	08/09/2023	
OR394303	IBISU211117_Angara_GL_EveA065_SA_COI	08/09/2023	
OR394304	IBISU211117_Angara_GL_EveA066_SA_COI	08/09/2023	
OR394305	IBISU211117_Angara_GL_EveA067_SA_COI	08/09/2023	
OR394306	IBISU211117_Angara_GL_EveA072_SA_COI	08/09/2023	
OR394307	IBISU211117_Angara_GL_EveA073_SA_COI	08/09/2023	
OR394308	IBISU211117_Angara_GL_EveA085_SA_COI	08/09/2023	
